Country,Indicator,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Angola,Number of births,1042000.0,1069000.0,1094000.0,1119000.0,1142000.0,1164000.0,1187000.0,1209000.0,1233000.0,1257000.0,1283000.0
Angola,Infant deaths,81618.0,79043.0,76308.0,73627.0,71229.0,69089.0,67296.0,65936.0,64774.0,64019.0,63216.0
Angola,Child deaths (aged 1-4 years),45277.0,43077.0,40830.0,38699.0,36797.0,35080.0,33623.0,32414.0,31295.0,30424.0,29474.0
Botswana,Number of births,55000.0,55000.0,56000.0,56000.0,56000.0,57000.0,57000.0,57000.0,56000.0,56000.0,56000.0
Botswana,Infant deaths,1238.0,1344.0,1495.0,1501.0,1603.0,1740.0,1808.0,1859.0,1825.0,1805.0,1793.0
Botswana,Child deaths (aged 1-4 years),663.0,558.0,539.0,563.0,484.0,437.0,509.0,599.0,636.0,604.0,527.0
Comoros,Number of births,24000.0,24000.0,25000.0,25000.0,25000.0,26000.0,26000.0,26000.0,26000.0,27000.0,27000.0
Comoros,Infant deaths,1494.0,1483.0,1462.0,1447.0,1429.0,1407.0,1382.0,1356.0,1331.0,1303.0,1276.0
Comoros,Child deaths (aged 1-4 years),525.0,514.0,499.0,487.0,474.0,459.0,444.0,428.0,413.0,396.0,380.0
Democratic Republic of the Congo,Number of births,2827000.0,2906000.0,2983000.0,3058000.0,3131000.0,3202000.0,3271000.0,3337000.0,3403000.0,3468000.0,3532000.0
Democratic Republic of the Congo,Infant deaths,237019.0,237533.0,237868.0,237830.0,237448.0,236798.0,235939.0,234373.0,232632.0,230580.0,228831.0
Democratic Republic of the Congo,Child deaths (aged 1-4 years),83903.0,81491.0,79268.0,77283.0,75229.0,73240.0,71180.0,68916.0,66574.0,64215.0,62028.0
Eswatini,Number of births,33000.0,32000.0,32000.0,31000.0,31000.0,31000.0,31000.0,30000.0,30000.0,30000.0,30000.0
Eswatini,Infant deaths,1893.0,1781.0,1720.0,1659.0,1608.0,1596.0,1393.0,1330.0,1345.0,1215.0,1143.0
Eswatini,Child deaths (aged 1-4 years),1270.0,1029.0,748.0,585.0,516.0,469.0,417.0,461.0,539.0,444.0,325.0
Lesotho,Number of births,59000.0,58000.0,58000.0,58000.0,58000.0,57000.0,57000.0,57000.0,57000.0,56000.0,56000.0
Lesotho,Infant deaths,4390.0,4250.0,4114.0,4125.0,4109.0,4065.0,4072.0,4084.0,4031.0,3868.0,3789.0
Lesotho,Child deaths (aged 1-4 years),1698.0,1441.0,1434.0,1372.0,1317.0,1310.0,1281.0,1052.0,977.0,999.0,1042.0
Madagascar,Number of births,735000.0,746000.0,757000.0,769000.0,782000.0,796000.0,811000.0,827000.0,843000.0,860000.0,876000.0
Madagascar,Infant deaths,34866.0,34251.0,33750.0,33323.0,32987.0,32711.0,32461.0,32204.0,31955.0,31696.0,31456.0
Madagascar,Child deaths (aged 1-4 years),16132.0,15538.0,14981.0,14458.0,14011.0,13602.0,13200.0,12798.0,12406.0,12015.0,11654.0
Malawi,Number of births,582000.0,586000.0,589000.0,592000.0,594000.0,597000.0,600000.0,606000.0,612000.0,621000.0,630000.0
Malawi,Infant deaths,31683.0,30773.0,28865.0,26911.0,25120.0,23450.0,22184.0,21142.0,20288.0,19665.0,19238.0
Malawi,Child deaths (aged 1-4 years),19081.0,17842.0,16531.0,14498.0,12260.0,10671.0,9644.0,8708.0,7925.0,7064.0,6474.0
Mauritius,Number of births,16000.0,15000.0,15000.0,14000.0,14000.0,14000.0,13000.0,13000.0,13000.0,13000.0,13000.0
Mauritius,Infant deaths,198.0,190.0,187.0,186.0,183.0,177.0,171.0,169.0,171.0,177.0,183.0
Mauritius,Child deaths (aged 1-4 years),36.0,34.0,32.0,31.0,29.0,26.0,25.0,24.0,24.0,22.0,23.0
Mozambique,Number of births,945000.0,960000.0,976000.0,993000.0,1010000.0,1029000.0,1048000.0,1068000.0,1088000.0,1110000.0,1131000.0
Mozambique,Infant deaths,67571.0,68175.0,65863.0,64655.0,64117.0,63732.0,63244.0,62665.0,61858.0,61374.0,60805.0
Mozambique,Child deaths (aged 1-4 years),30910.0,29523.0,29143.0,27987.0,26299.0,25369.0,23591.0,22090.0,21963.0,21553.0,20702.0
Namibia,Number of births,63000.0,65000.0,66000.0,67000.0,68000.0,69000.0,69000.0,70000.0,70000.0,70000.0,70000.0
Namibia,Infant deaths,2330.0,2305.0,2392.0,2505.0,2438.0,2332.0,2289.0,2252.0,2207.0,2172.0,2146.0
Namibia,Child deaths (aged 1-4 years),829.0,799.0,830.0,900.0,883.0,906.0,967.0,929.0,873.0,838.0,808.0
Seychelles,Number of births,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
